"ADEP";"Adept Technology, Inc.";"4.03";"39244140";"n/a";"Technology";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADEP&selected=ADEP"
"ADBE";"Adobe Systems Incorporated";"29.29";"14775604110";"1986";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADBE&selected=ADBE"
"ADLR";"Adolor Corporation";"2.43";"112820040";"2000";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADLR&selected=ADLR"
"ADTN";"ADTRAN, Inc.";"35.32";"2284144400";"1994";"Public Utilities";"Telecommunications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADTN&selected=ADTN"
"AATI";"Advanced Analogic Technologies, Inc.";"6.07";"260833970";"1986";"Technology";"Semiconductors";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AATI&selected=AATI"
"ABAT";"Advanced Battery Technologies, Inc.";"1.09";"83514710";"n/a";"Energy";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAT&selected=ABAT"
"AEIS";"Advanced Energy Industries, Inc.";"12.58";"547947060";"1995";"Capital Goods";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEIS&selected=AEIS"
"ADVS";"Advent Software, Inc.";"27.62";"1447950880";"1995";"Technology";"EDP Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADVS&selected=ADVS"
"AVCA";"Advocat, Inc.";"6.94";"40369980";"n/a";"Health Care";"Hospital/Nursing Management";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVCA&selected=AVCA"
"AEGR";"Aegerion Pharmaceuticals, Inc.";"15.22";"268861300";"2010";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEGR&selected=AEGR"
"AEHR";"Aehr Test Systems";"1.36";"12004720";"1997";"Capital Goods";"Electrical Products";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEHR&selected=AEHR"
"AEPI";"AEP Industries Inc.";"29.02";"178095740";"1986";"Capital Goods";"Specialty Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEPI&selected=AEPI"
"AVAV";"AeroVironment, Inc.";"31.52";"687860960";"2007";"Capital Goods";"Aerospace";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVAV&selected=AVAV"
"AEZS";"AEterna Zentaris, Inc.";"2.3";"218920900";"n/a";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEZS&selected=AEZS"
"ATRM";"Aetrium Incorporated";"1.66";"17896460";"1993";"Capital Goods";"Electrical Products";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATRM&selected=ATRM"
"AFCE";"AFC Enterprises, Inc.";"16.61";"411263600";"n/a";"Consumer Services";"Restaurants";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFCE&selected=AFCE"
"AFFM";"Affirmative Insurance Holdings, Inc.";"2.14";"33901880";"2004";"Finance";"Property-Casualty Insurers";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFM&selected=AFFM"
"AFFY";"Affymax, Inc.";"7.43";"262903120";"2006";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFY&selected=AFFY"
"AFFX";"Affymetrix, Inc.";"6.45";"454750800";"1996";"Capital Goods";"Biotechnology: Laboratory Analytical Instruments";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFX&selected=AFFX"
"AGEN";"Agenus Inc.";"0.7702";"87310642.2";"2000";"Health Care";"Biotechnology: Biological Products (No Diagnostic Substances)";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGEN&selected=AGEN"
"FEED";"AgFeed Industries, Inc.";"1.47";"85240890";"n/a";"Consumer Non-Durables";"Farming/Seeds/Milling";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FEED&selected=FEED"
"AGYS";"Agilysys, Inc.";"9.44";"217610880";"n/a";"Consumer Non-Durables";"Electronic Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGYS&selected=AGYS"
"AIRM";"Air Methods Corporation";"73.25";"927052000";"n/a";"Transportation";"Transportation Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIRM&selected=AIRM"
"AIRT";"Air T, Inc.";"8.82";"21573720";"n/a";"Transportation";"Air Freight/Delivery Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIRT&selected=AIRT"
"ATSG";"Air Transport Services Group, Inc";"6.24";"400345920";"n/a";"Transportation";"Air Freight/Delivery Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATSG&selected=ATSG"
"AMCN";"AirMedia Group Inc";"3.08";"203172200";"1995";"Technology";"Advertising";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMCN&selected=AMCN"
"AIXG";"Aixtron SE";"28.71";"2904877800";"n/a";"Technology";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIXG&selected=AIXG"
"AKAM";"Akamai Technologies, Inc.";"29.85";"5573203950";"1999";"Miscellaneous";"Business Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKAM&selected=AKAM"
"AKRX";"Akorn, Inc.";"7.48";"707234000";"n/a";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKRX&selected=AKRX"
"ALAN";"Alanco Technologies Inc.";"1.89";"10523520";"n/a";"Technology";"Electronic Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALAN&selected=ALAN"
"ALSK";"Alaska Communications Systems Group, Inc.";"8.29";"374451010";"1999";"Public Utilities";"Telecommunications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALSK&selected=ALSK"
"AMRI";"Albany Molecular Research, Inc.";"4.84";"146710080";"1999";"Health Care";"Biotechnology: Commercial Physical & Biological Resarch";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRI&selected=AMRI"
"ALXN";"Alexion Pharmaceuticals, Inc.";"52.37";"9627438950";"1996";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALXN&selected=ALXN"
"ALXA";"Alexza Pharmaceuticals, Inc.";"1.69";"121869280";"2006";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALXA&selected=ALXA"
"ALCO";"Alico, Inc.";"25.29";"185780340";"n/a";"Consumer Non-Durables";"Farming/Seeds/Milling";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALCO&selected=ALCO"
"ALGN";"Align Technology, Inc.";"23.47";"1826364990";"2001";"Health Care";"Industrial Specialties";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALGN&selected=ALGN"
"ALIM";"Alimera Sciences, Inc.";"8.76";"274608480";"2010";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALIM&selected=ALIM"
"ALKS";"Alkermes, Inc.";"19.27";"1844755640";"1991";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALKS&selected=ALKS"
"ALGT";"Allegiant Travel Company";"46.1";"877744000";"2006";"Transportation";"Air Freight/Delivery Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALGT&selected=ALGT"
"ALLB";"Alliance Bancorp, Inc. of Pennsylvania";"11.05";"60487700";"n/a";"Finance";"Savings Institutions";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALLB&selected=ALLB"
"ABVA";"Alliance Bankshares Corporation";"4.72";"24114480";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABVA&selected=ABVA"
"AFOP";"Alliance Fiber Optic Products, Inc.";"8.09";"71483240";"2000";"Technology";"Semiconductors";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFOP&selected=AFOP"
"ALNC";"Alliance Financial Corporation";"31.93";"151507850";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALNC&selected=ALNC"
"AHGP";"Alliance Holdings GP, L.P.";"50.05";"2996143150";"2006";"Energy";"Coal Mining";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHGP&selected=AHGP"
"ARLP";"Alliance Resource Partners, L.P.";"75.53";"2773235010";"1999";"Energy";"Coal Mining";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARLP&selected=ARLP"
"AHCI";"Allied HealthCare International Inc.";"2.48";"108056080";"n/a";"Health Care";"Medical/Nursing Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHCI&selected=AHCI"
"AHPI";"Allied Healthcare Products, Inc.";"4.02";"32658480";"1992";"Health Care";"Industrial Specialties";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHPI&selected=AHPI"
"AMOT";"Allied Motion Technologies, Inc.";"5.71";"48340860";"n/a";"Capital Goods";"Electrical Products";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMOT&selected=AMOT"
"ALTH";"Allos Therapeutics, Inc.";"2";"211228000";"2000";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTH&selected=ALTH"
"ALLT";"Allot Communications Ltd.";"17.6327";"426728972.7";"2006";"Technology";"Computer Communications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALLT&selected=ALLT"
"MDRX";"Allscripts Healthcare Solutions, Inc.";"18.67";"3551556760";"1999";"Technology";"EDP Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MDRX&selected=MDRX"
"AFAM";"Almost Family Inc";"25.48";"238110600";"n/a";"Health Care";"Medical/Nursing Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFAM&selected=AFAM"
"ALNY";"Alnylam Pharmaceuticals, Inc.";"10.26";"435106080";"2004";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALNY&selected=ALNY"
"AOSL";"Alpha and Omega Semiconductor Limited";"12.02";"265966540";"2010";"Technology";"Semiconductors";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AOSL&selected=AOSL"
"ATEC";"Alphatec Holdings, Inc.";"3.53";"314614780";"2006";"Health Care";"Medical/Dental Instruments";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATEC&selected=ATEC"
"ALTI";"Altair Nanotechnologies Inc.";"0.96";"29391360";"n/a";"Basic Industries";"Major Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTI&selected=ALTI"
"ALTR";"Altera Corporation";"42.67";"13749298080";"1988";"Technology";"Semiconductors";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTR&selected=ALTR"
"ALTE";"Alterra Capital Holdings Ltd";"22.2";"2350447200";"n/a";"Finance";"Property-Casualty Insurers";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTE&selected=ALTE"
"ASPS";"Altisource Portfolio Solutions S.A.";"37.1";"942822300";"n/a";"Consumer Services";"Other Consumer Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASPS&selected=ASPS"
"APSA";"Alto Palermo S.A.";"22.77";"445199040";"n/a";"Consumer Services";"Building operators";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APSA&selected=APSA"
"AIMC";"Altra Holdings, Inc.";"25.12";"674848800";"2006";"Capital Goods";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIMC&selected=AIMC"
"ALVR";"Alvarion Ltd.";"1.51";"94074510";"n/a";"Public Utilities";"Telecommunications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALVR&selected=ALVR"
"AMAG";"AMAG Pharmaceuticals, Inc.";"18.27";"386593200";"n/a";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMAG&selected=AMAG"
"AMRN";"Amarin Corporation PLC";"13.63";"1734035860";"1995";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRN&selected=AMRN"
"AMZN";"Amazon.com, Inc.";"212.87";"96226393410";"1997";"Consumer Services";"Catalog/Specialty Distribution";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMZN&selected=AMZN"
"EPAX";"Ambassadors Group, Inc.";"8.81";"155937000";"n/a";"Consumer Services";"Other Consumer Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPAX&selected=EPAX"
"AMCX";"AMC Networks Inc.";"37.09";"2147511000";"n/a";"Consumer Services";"Television Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMCX&selected=AMCX"
"AMED";"Amedisys Inc";"26.56";"782829440";"1987";"Health Care";"Medical/Nursing Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMED&selected=AMED"
"UHAL";"Amerco";"93.39";"1831191120";"n/a";"Consumer Services";"Rental/Leasing Companies";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=UHAL&selected=UHAL"
"ASBI";"Ameriana Bancorp";"4.95";"14795550";"n/a";"Finance";"Savings Institutions";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASBI&selected=ASBI"
"ATAX";"America First Tax Exempt Investors, L.P.";"5.51";"165977730";"n/a";"Finance";"Finance: Consumer Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATAX&selected=ATAX"
"AMOV";"America Movil, S.A.B. de C.V.";"26.11";"513061500";"n/a";"Public Utilities";"Telecommunications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMOV&selected=AMOV"
"AGNC";"American Capital Agency Corp.";"29.27";"5035288830";"1983";"Consumer Services";"Real Estate Investment Trusts";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGNC&selected=AGNC"
"ACAS";"American Capital, Ltd.";"9.81";"3459653460";"1997";"n/a";"n/a";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACAS&selected=ACAS"
"ANCI";"American Caresource Holdings Inc";"1.31";"22204500";"n/a";"Health Care";"Hospital/Nursing Management";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANCI&selected=ANCI"
"ADPI";"American Dental Partners, Inc.";"13.24";"204253480";"1998";"Health Care";"Hospital/Nursing Management";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADPI&selected=ADPI"
"AETI";"American Electric Technologies, Inc.";"3.55";"27768100";"n/a";"Energy";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AETI&selected=AETI"
"AMIC";"American Independence Corp.";"5.94";"50608800";"n/a";"Finance";"Accident &Health Insurance";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMIC&selected=AMIC"
"ALRN";"American Learning Corporation";"2.25";"10698750";"1984";"Health Care";"Medical/Nursing Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALRN&selected=ALRN"
